method,v1,v2
stop,4.603763539572041,1.3767240827836495
stop,8.703462446170644,1.4294463266553916
straight,2.4436847377086637,0.04651356279172081
stop,7.946891204317322,2.338989868728458
stop,4.943840067602988,1.5690700512823703
stop,9.017807517946009,1.7467862639857619
straight,2.727730759575158,0.05285100904072182
stop,8.549356268594758,2.4810594917734026
stop,5.351877306612114,1.7637170413469656
stop,9.295218114721541,2.0633950435317954
straight,3.0061089139305044,0.058532450652741375
stop,9.146629407385383,2.6240285177730325
stop,5.818613567562232,1.962342019411233
stop,9.537837196715275,2.3801012861481468
straight,3.2809145493481173,0.06353754800477374
stop,9.733892448607513,2.7680665930938595
stop,6.333297113284723,2.163377309024309
stop,9.7506526999801,2.698387146329066
straight,3.5590973631158866,0.06800290682000232
stop,10.30476869611925,2.9138440147212084
stop,6.88438324386763,2.3648387653065495
stop,9.941438750498792,3.0177298227526768
straight,3.839142740946197,0.07194607867822445
stop,10.854943101147976,3.0616079117294106
stop,7.460853422860142,2.567167297299191
stop,10.121226016492402,2.945737982443613
straight,4.122200407704962,0.07547257973759691
stop,11.382725247035161,3.0724783628442722
stop,8.050063766626733,2.769373448093484
stop,10.302366225749422,2.6254924991409574
straight,4.410242554578162,0.07871875602469947
stop,11.884336520271932,2.922306321550333
stop,8.6432530639556,2.971391569447137
stop,10.496802853457973,2.3041996867302927
straight,4.702566401479862,0.08171904646351447
stop,12.353818268271217,2.7699221690333737
stop,9.232005514211686,3.112384450904169
stop,10.713774713798037,1.9809773693288264
straight,4.998400706757702,0.08440967604852012
stop,12.786393744724448,2.614681754201849
stop,9.805651038011167,2.915326449709919
stop,10.96061830945423,1.656226003611426
straight,5.297969641296094,0.08672235342194812
stop,13.179882562283238,2.458385137343256
stop,10.350876927035918,2.7200835237720153
stop,11.240534080436191,1.330886784560815
straight,5.603154865032914,0.08902901351825954
stop,13.532006772687811,2.3029131003580576
stop,10.856442294535093,2.5239247677590004
stop,11.554423193676252,1.0054371465266856
straight,5.912562833984522,0.09151843352966738
stop,13.84030433765693,2.1483019142901605
stop,11.322357478154263,2.32682993327789
stop,11.901829841233246,0.6806542149110739
straight,6.225622056446411,0.09404662049667734
stop,14.102952813356755,1.9946527208233646
stop,11.747635803585498,2.1311962276619547
stop,12.277776598633052,0.35659174369600644
straight,6.540920531714029,0.09664422949214335
stop,14.318356443117844,1.8429205724737814
stop,12.126033543325276,1.9392317993894015
stop,12.669072665502513,0.03296962089786337
straight,6.8577404028776945,0.099321187230766
stop,14.48600954955667,1.6934032293366212
stop,12.454752755749576,1.7507609476341015
stop,13.062766600604686,0.29064632044913896
straight,7.175092771078495,0.1020788129061575
stop,14.605503131536429,1.545290206184056
stop,12.732680201468973,1.5653517997364632
stop,13.44728280316116,0.6134974596427409
straight,7.490385004492395,0.10492737520580542
stop,14.678339226913302,1.3982516249489225
stop,12.959851584440733,1.3822463725211847
stop,13.809778554911304,0.936505246931393
straight,7.802353457682375,0.10783408066902522
stop,14.706005347673255,1.250701043178198
stop,13.136487842023492,1.199050714408694
stop,14.13887051042373,1.2597074454591792
straight,8.108840466087495,0.1107352668132382
stop,14.690310098187505,1.102933319915219
stop,13.262434468760992,1.0171565817136803
stop,14.428609127587515,1.5840554660637998
straight,8.407454808723152,0.11352611229041398
stop,14.633484672553955,0.9543536934569516
stop,13.341724855320766,0.8376431112409196
stop,14.678289229593464,1.9094236532782156
straight,8.697062466185464,0.11608265463626422
stop,14.538340639867846,0.8045517092721122
stop,13.382458172306315,0.6591763599594094
stop,14.890482625065296,2.236472097980967
straight,8.982917016494104,0.11853620776150009
stop,14.411161953315762,0.6525212630779897
stop,13.393839996893243,0.4802474370714074
stop,15.07216534537387,2.5646105767188287
straight,9.26615839048666,0.12094753084112286
stop,14.25859785577449,0.4978441076369928
stop,13.376611914772488,0.29940872862419404
stop,15.231752189827596,2.8942366188763975
straight,9.546878254801845,0.12345682728057861
stop,14.084920024520205,0.3403237449114913
stop,13.337785194574154,0.11929198242760819
stop,15.379542441470374,3.05749751131021
straight,9.823489683607225,0.12631164050850285
stop,13.894114541115025,0.1814393150122164
stop,13.288539979100658,0.05903984635619697
stop,15.527305324702695,2.724308177473773
straight,10.093041617164456,0.12907281237003265
stop,13.695565380552551,0.023009192879444917
stop,13.239931623121198,0.23725702768825796
stop,15.685790149719617,2.3905635692507854
straight,10.358151911793675,0.13143408568708592
stop,13.501297085279699,0.13497089230631598
stop,13.20067622582956,0.41795748846722525
stop,15.864154734826194,2.0560739450606498
straight,10.620939994936515,0.13347747049022884
stop,13.326799719766992,0.29190867649989904
stop,13.18642366996934,0.600683191023399
stop,16.06833548705072,1.7209475808940358
straight,10.881839449830926,0.13531855604652687
stop,13.187336432884678,0.4499602232299438
stop,13.213197868384109,0.7860229656273852
stop,16.30278729072927,1.3846938763550884
straight,11.143940585443605,0.136981481385681
stop,13.091409307892581,0.6096530440932222
stop,13.28709073114826,0.9744516661578775
stop,16.567199988974792,1.047025011990078
straight,11.407240600172017,0.138539756169906
stop,13.049797590016814,0.7700329417043736
stop,13.410093421026696,1.1662098703371395
stop,16.858753592996262,0.7094421993304691
straight,11.666110585686923,0.14004150600696352
stop,13.073446572841299,0.9305007225714572
stop,13.588753535779592,1.3573302181663065
stop,17.171945475761603,0.37320789580553315
straight,11.918071078945582,0.14143251984237715
stop,13.171304644434212,1.0910555881354984
stop,13.828997978381905,1.546022626007682
stop,17.498771343159255,0.03813774366520262
straight,12.164542907959042,0.14267158251941547
stop,13.348951331010868,1.2531230930028414
stop,14.132338382276412,1.734518101426283
stop,17.82762201643273,0.29556719668575226
straight,12.411853826651253,0.1438831094234827
stop,13.607922881697453,1.4160220962123296
stop,14.498128524452309,1.9228163968058638
stop,18.14507255092641,0.6285097829364417
straight,12.65993992307715,0.1450987902934998
stop,13.946936801205384,1.578236053849917
stop,14.922832945384936,2.109504172201607
stop,18.44039621464994,0.9606722806402832
straight,12.907029854458598,0.14630391517765373
stop,14.361454695296093,1.740062154516825
stop,15.399113896417921,2.2940144742185637
stop,18.705698431478982,1.2923475264927433
straight,13.15161024227327,0.1473408402386509
stop,14.84353953724085,1.9010917690363707
stop,15.910649725567358,2.475281752088735
stop,18.93723098068459,1.6236950647597124
straight,13.394708710013049,0.14815168385594646
stop,15.381616437794165,2.0615512474756716
stop,16.44482252144716,2.6555565792652676
stop,19.133607348542327,1.9546788639914254
straight,13.638234660882015,0.14894498103896914
stop,15.965007895438,2.2212352588104984
stop,16.992468600184377,2.835363066598532
stop,19.2982684956876,2.2859107727737555
straight,13.880342755183662,0.14986771457170056
stop,16.581214670536006,2.3802009053948554
stop,17.538512920569122,3.0159729510472193
stop,19.436514386405136,2.6178564292336337
straight,14.123033875407822,0.1507625798180755
stop,17.217547239160904,2.5406664321123644
stop,18.075028730782144,3.0863273571385
stop,19.55414735651031,2.949717795736779
straight,14.365995311783799,0.15165438806876852
stop,17.861001484543912,2.7036773727768564
stop,18.59786188959871,2.9071215671669512
stop,19.664675329447824,3.0021881279612774
straight,14.605615630298598,0.15262182187308082
stop,18.499952788681313,2.869998182063396
stop,19.092560920474632,2.7302677043126597
